Area,diameter,perimeter,circularity,homogeneity,compactness,homogeneity,3d bounding box dim rate,compactness2,clbp mean,euler point,x-y projection compactness,min value inside,DC constant,energy,skew inside,kurtosis inside,moment 2,MIP,moment 5,moment 6,moment 7,x-y plane bb rate,T
24.13125,4.68,12.51008459,0.294712397,175.3903125,0.52470301,0.39,0.29575,0.912506155,5.7135,0.78,0.301125223,7.701255514,0.390628334,3.958195238,0.180466486,1.199869752,93.11813554,107.7642911,25728.76313,6143620.08,143596.9397,7.453629971,NON-CANCEROUS
5.484375,2.925,6.532349682,0.245655997,21.9594375,0.630119866,0.351,0.2704,0.820991906,3.0615,1.17,0.200732392,7.71363716,0.39091635,2.106451936,0.071305248,0.603675592,122.2905176,124.338327,38988.29391,12225716.1,5176.6909,7.428867416,NON-CANCEROUS
4.606875,6.1425,5.288548017,0.314827458,49.9078125,0.613956949,0.13,0.13,1.332193729,4.446,0.39,0.17710789,7.441248321,0.390943362,1.956778107,0.037215899,0.563378141,129.1311923,107.5803717,35620.55555,11794272.36,4298.273409,7.441248321,NON-CANCEROUS
7.8975,3.8025,8.425922977,0.212614923,100.956375,0.596467435,0.36,0.192857143,1.246649627,5.973500001,0.39,0.169742138,7.726018065,0.390872415,1.840615626,-0.154746646,0.703188121,76.45975112,95.63367598,18748.39383,3675895.86,8733.563261,7.453629971,NON-CANCEROUS
5.265,4.3875,6.140177811,0.266916584,49.622625,0.520402509,0.338,0.2704,1.520591462,5.226,0.39,0.123349129,7.552680186,0.382228646,1.951177168,-0.216495564,0.795951927,123.0630313,98.62129165,31119.79102,9820085.34,5259.783368,7.441248321,NON-CANCEROUS
31.370625,5.265,14.24121498,0.295643384,118.3528125,0.654866541,0.325,0.112666667,0.652062573,4.478499999,0.78,0.286815036,7.441248321,0.390779618,2.479975119,-0.109026238,0.932900255,56.49408508,85.1169882,12331.87313,1787410.56,213410.6813,7.317435551,NON-CANCEROUS
6.800625,5.85,6.465063626,0.310987046,72.1524375,0.578953702,0.2145,0.2145,1.180803567,5.226,0.78,0.18457499,3.685889339,0.39501812,0.654601493,0.137146115,0.946176775,116.744491,155.5998001,46578.25454,13943231.64,3627.850459,3.462407084,NON-CANCEROUS
5.70375,6.7275,6.235334664,0.280401301,89.2636875,0.533946105,0.220434782,0.208928572,2.018481684,7.2345,0.78,0.161580799,3.456819906,0.394715413,0.931805935,0.177172706,1.073086445,119.8995777,140.581301,43219.72383,13287707.16,2771.934331,3.456819906,NON-CANCEROUS
4.606875,3.8025,4.963662202,0.357388908,42.4929375,0.518135829,0.33,0.33,1.069177539,3.887,0.78,0.203645503,3.546212883,0.39466748,0.816669431,0.03301539,1.034475339,124.7918115,136.6250052,43717.15971,13988805.48,2019.945967,3.127183514,NON-CANCEROUS
8.994375,5.265,10.71166815,0.149828989,64.452375,0.56754467,0.238333333,0.238333333,2.259060023,8.216000001,1.56,0.106471622,3.490342226,0.395355975,0.691974481,0.259867716,0.914817431,154.5534485,120.1410544,47610.84658,18868683.6,5480.732462,3.143944674,NON-CANCEROUS
20.62125,6.435,10.87411105,0.333323964,132.6121875,0.649410628,0.301363636,0.153636364,0.730406124,4.745000001,0.39,0.230914732,6.113570307,0.391480433,1.529288657,-0.237719386,0.861455369,69.90836288,118.3138577,21206.52879,3801700.89,69755.8875,5.934987057,NON-CANCEROUS
4.82625,4.3875,5.126105111,0.351053962,93.5415,0.582038851,0.364,0.225,1.22968867,5.681000001,0.39,0.150696197,6.093727684,0.391510885,1.545191488,-0.273088748,0.859573853,80.01499604,117.4509851,24097.1768,4944128.67,3912.86924,5.974671936,NON-CANCEROUS
5.70375,3.51,5.680719888,0.337825797,47.6263125,0.530657258,0.2275,0.225,0.865251497,3.692,0.39,0.24115543,6.123491622,0.344536423,1.556418099,-0.071482806,0.766375444,129.0834302,129.2436768,42777.28408,14158709.76,5161.229912,6.014357185,NON-CANCEROUS
6.58125,7.605,6.302620721,0.316668686,106.660125,0.535767067,0.255,0.255,1.70934386,7.143500001,1.17,0.121844731,5.994514562,0.391587921,1.55722882,-0.046623305,0.711743184,149.8359933,101.2307794,38891.95781,14942116.8,6919.654981,5.885380496,NON-CANCEROUS
4.606875,4.9725,5.126105111,0.335096963,55.0411875,0.571183323,0.229411765,0.229411765,1.012205416,4.082000001,0.39,0.201824262,6.024278497,0.391716099,1.525740509,0.071064892,0.692439677,148.7893085,122.2060025,46623.135,17787416.4,3301.848164,5.974671936,NON-CANCEROUS
11.188125,9.36,8.980537757,0.265150043,126.3380625,0.626757796,0.2803125,0.232375,2.610810546,10.2375,0.78,0.078222938,6.093727684,0.376589538,1.509294562,-0.028479536,0.650454533,66.78599441,136.0118811,23291.16258,3988684.83,17866.90242,5.925065745,NON-CANCEROUS
8.116875,4.68,9.344838828,0.17765781,80.99325,0.572584585,0.34125,0.338,2.533722776,8.085999999,1.56,0.143546011,5.944908372,0.391595964,1.588539162,0.12103829,0.974139719,134.758949,103.6869534,35827.47797,12380078.88,8474.201837,5.885380496,NON-CANCEROUS
7.45875,10.2375,6.072891759,0.386557451,132.6121875,0.626145133,0.211714286,0.211714286,1.769845746,8.073,0.39,0.101874988,6.083806373,0.391550775,1.468342695,-0.123896386,0.727513747,140.4597949,135.0591614,48642.1985,17518943.52,9611.171427,5.954829683,NON-CANCEROUS
